n,beta,s,type,mcVal,M
148,0.6666666666666666,1.5,EPE,0.2610145290175039,300
148,0.6666666666666666,1.5,EPE,0.31292695173439833,300
148,0.6666666666666666,1.5,EPE,0.15744813859350892,300
148,0.6666666666666666,1.5,EPE,0.34808802837134356,300
148,0.6666666666666666,1.5,EPE,0.2189349521672364,300
148,0.6666666666666666,1.5,EPE,0.24559163105776424,300
148,0.6666666666666666,1.5,EPE,0.30775788715381786,300
148,0.6666666666666666,1.5,EPE,0.22343863794566052,300
148,0.6666666666666666,1.5,EPE,0.2011297760201369,300
148,0.6666666666666666,1.5,EPE,0.3265752748927576,300
148,0.6666666666666666,1.5,EPE,0.23679128217177337,300
148,0.6666666666666666,1.5,EPE,0.24295946957007136,300
148,0.6666666666666666,1.5,EPE,0.19689428087839736,300
148,0.6666666666666666,1.5,EPE,0.1695657377672605,300
148,0.6666666666666666,1.5,EPE,0.20186841228150465,300
148,0.6666666666666666,1.5,EPE,0.2378044791288782,300
148,0.6666666666666666,1.5,EPE,0.20931565445215686,300
148,0.6666666666666666,1.5,EPE,0.1790530826924672,300
148,0.6666666666666666,1.5,EPE,0.1878780537423313,300
148,0.6666666666666666,1.5,EPE,0.27155857772849845,300
148,0.6666666666666666,1.5,EPE,0.25859063662683834,300
148,0.6666666666666666,1.5,EPE,0.21112606891456157,300
148,0.6666666666666666,1.5,EPE,0.38970786551076925,300
148,0.6666666666666666,1.5,EPE,0.16461121552268843,300
148,0.6666666666666666,1.5,EPE,0.2361689842369878,300
148,0.6666666666666666,1.5,EPE,0.21890336474754327,300
148,0.6666666666666666,1.5,EPE,0.19570753602762342,300
148,0.6666666666666666,1.5,EPE,0.25901804365028713,300
148,0.6666666666666666,1.5,EPE,0.21824974608435263,300
148,0.6666666666666666,1.5,EPE,0.29457393577081653,300
148,0.6666666666666666,1.5,EPE,0.2563980584089527,300
148,0.6666666666666666,1.5,EPE,0.1832283493710188,300
148,0.6666666666666666,1.5,EPE,0.2093369689765727,300
148,0.6666666666666666,1.5,EPE,0.19682892898510612,300
148,0.6666666666666666,1.5,EPE,0.36068854452367305,300
148,0.6666666666666666,1.5,EPE,0.2856071500489012,300
148,0.6666666666666666,1.5,EPE,0.15800006492167504,300
148,0.6666666666666666,1.5,EPE,0.15964546344377753,300
148,0.6666666666666666,1.5,EPE,0.20123787564641216,300
148,0.6666666666666666,1.5,EPE,0.2193452234491595,300
148,0.6666666666666666,1.5,EPE,0.17468846556884182,300
148,0.6666666666666666,1.5,EPE,0.18370641706155896,300
148,0.6666666666666666,1.5,EPE,0.2531057952953029,300
148,0.6666666666666666,1.5,EPE,0.25916094661388933,300
148,0.6666666666666666,1.5,EPE,0.2691282245066191,300
148,0.6666666666666666,1.5,EPE,0.2007483808087837,300
148,0.6666666666666666,1.5,EPE,0.2569799603311116,300
148,0.6666666666666666,1.5,EPE,0.2429661977256174,300
148,0.6666666666666666,1.5,EPE,0.20714626495101965,300
148,0.6666666666666666,1.5,EPE,0.24060456107064337,300
148,0.6666666666666666,1.5,EPE,0.32377293380586,300
148,0.6666666666666666,1.5,EPE,0.18504712425138328,300
148,0.6666666666666666,1.5,EPE,0.23709810218563201,300
148,0.6666666666666666,1.5,EPE,0.1638431040957394,300
148,0.6666666666666666,1.5,EPE,0.22430199689818842,300
148,0.6666666666666666,1.5,EPE,0.26150342300437707,300
148,0.6666666666666666,1.5,EPE,0.24481854867294964,300
148,0.6666666666666666,1.5,EPE,0.26334498811066853,300
148,0.6666666666666666,1.5,EPE,0.20884034464841536,300
148,0.6666666666666666,1.5,EPE,0.25294907666761685,300
148,0.6666666666666666,1.5,EPE,0.17672197231007072,300
148,0.6666666666666666,1.5,EPE,0.2501052725895009,300
148,0.6666666666666666,1.5,EPE,0.22690520366194972,300
148,0.6666666666666666,1.5,EPE,0.18179347794201436,300
148,0.6666666666666666,1.5,EPE,0.287153756961767,300
148,0.6666666666666666,1.5,EPE,0.28674073780796516,300
148,0.6666666666666666,1.5,EPE,0.22195599587682593,300
148,0.6666666666666666,1.5,EPE,0.19413818046613007,300
148,0.6666666666666666,1.5,EPE,0.2816161333792915,300
148,0.6666666666666666,1.5,EPE,0.179986057680569,300
148,0.6666666666666666,1.5,EPE,0.21321444813177004,300
148,0.6666666666666666,1.5,EPE,0.22100228728852836,300
148,0.6666666666666666,1.5,EPE,0.2316342145198572,300
148,0.6666666666666666,1.5,EPE,0.20019940749997384,300
148,0.6666666666666666,1.5,EPE,0.29733563247507694,300
148,0.6666666666666666,1.5,EPE,0.21143340855788267,300
148,0.6666666666666666,1.5,EPE,0.24315033231045974,300
148,0.6666666666666666,1.5,EPE,0.23738279672198465,300
148,0.6666666666666666,1.5,EPE,0.22266107245015818,300
148,0.6666666666666666,1.5,EPE,0.3248790150261795,300
148,0.6666666666666666,1.5,EPE,0.20106543215117778,300
148,0.6666666666666666,1.5,EPE,0.2414334575997862,300
148,0.6666666666666666,1.5,EPE,0.23088335773812632,300
148,0.6666666666666666,1.5,EPE,0.19851218024715997,300
148,0.6666666666666666,1.5,EPE,0.268308331414893,300
148,0.6666666666666666,1.5,EPE,0.2983441823882517,300
148,0.6666666666666666,1.5,EPE,0.19965724533777812,300
148,0.6666666666666666,1.5,EPE,0.2658837906496829,300
148,0.6666666666666666,1.5,EPE,0.23919604998268798,300
148,0.6666666666666666,1.5,EPE,0.1654831016479446,300
148,0.6666666666666666,1.5,EPE,0.21105502369954696,300
148,0.6666666666666666,1.5,EPE,0.2127361806580833,300
148,0.6666666666666666,1.5,EPE,0.2240490013435028,300
148,0.6666666666666666,1.5,EPE,0.2751931114919448,300
148,0.6666666666666666,1.5,EPE,0.23118956362093188,300
148,0.6666666666666666,1.5,EPE,0.12866539168329502,300
148,0.6666666666666666,1.5,EPE,0.22370101309703908,300
148,0.6666666666666666,1.5,EPE,0.2766001553743591,300
148,0.6666666666666666,1.5,EPE,0.22395339891587465,300
148,0.6666666666666666,1.5,EPE,0.16265376016103342,300
148,0.6666666666666666,1.5,EPE,0.21784342065523787,300
148,0.6666666666666666,1.5,EPE,0.20476092167596985,300
148,0.6666666666666666,1.5,EPE,0.19200870498422642,300
148,0.6666666666666666,1.5,EPE,0.31317229281394254,300
148,0.6666666666666666,1.5,EPE,0.26260456406605037,300
148,0.6666666666666666,1.5,EPE,0.20651328172530983,300
148,0.6666666666666666,1.5,EPE,0.27227942384468146,300
148,0.6666666666666666,1.5,EPE,0.23371110960496513,300
148,0.6666666666666666,1.5,EPE,0.21145598437444682,300
148,0.6666666666666666,1.5,EPE,0.26412452743482795,300
148,0.6666666666666666,1.5,EPE,0.28171496129149637,300
148,0.6666666666666666,1.5,EPE,0.30250278803595704,300
148,0.6666666666666666,1.5,EPE,0.18264448922578608,300
148,0.6666666666666666,1.5,EPE,0.22282378488764884,300
148,0.6666666666666666,1.5,EPE,0.3279041470554519,300
148,0.6666666666666666,1.5,EPE,0.24199773660445847,300
148,0.6666666666666666,1.5,EPE,0.2208327460356471,300
148,0.6666666666666666,1.5,EPE,0.18278717068135522,300
148,0.6666666666666666,1.5,EPE,0.22635364530617857,300
148,0.6666666666666666,1.5,EPE,0.3183593473165,300
148,0.6666666666666666,1.5,EPE,0.1843846981694766,300
148,0.6666666666666666,1.5,EPE,0.24529381191890395,300
148,0.6666666666666666,1.5,EPE,0.24612934479786738,300
148,0.6666666666666666,1.5,EPE,0.24654054300925407,300
148,0.6666666666666666,1.5,EPE,0.17302893821699028,300
148,0.6666666666666666,1.5,EPE,0.30671395336716717,300
148,0.6666666666666666,1.5,EPE,0.31133986365843297,300
148,0.6666666666666666,1.5,EPE,0.2889704321487371,300
148,0.6666666666666666,1.5,EPE,0.24499564074825697,300
148,0.6666666666666666,1.5,EPE,0.20290915075681906,300
148,0.6666666666666666,1.5,EPE,0.26624609830196116,300
148,0.6666666666666666,1.5,EPE,0.3395530331751001,300
148,0.6666666666666666,1.5,EPE,0.20281384631273897,300
148,0.6666666666666666,1.5,EPE,0.20678067998233948,300
148,0.6666666666666666,1.5,EPE,0.1990505900155998,300
148,0.6666666666666666,1.5,EPE,0.24480190890540648,300
148,0.6666666666666666,1.5,EPE,0.17279821879772672,300
148,0.6666666666666666,1.5,EPE,0.2631053940794232,300
148,0.6666666666666666,1.5,EPE,0.16397789220136244,300
148,0.6666666666666666,1.5,EPE,0.19546590735047528,300
148,0.6666666666666666,1.5,EPE,0.2602777905783712,300
148,0.6666666666666666,1.5,EPE,0.24109160061334578,300
148,0.6666666666666666,1.5,EPE,0.25269710853186117,300
148,0.6666666666666666,1.5,EPE,0.29320065381520166,300
148,0.6666666666666666,1.5,EPE,0.2957294743518264,300
148,0.6666666666666666,1.5,EPE,0.21091081702379838,300
148,0.6666666666666666,1.5,EPE,0.1653705870063382,300
148,0.6666666666666666,1.5,EPE,0.22232363839451322,300
148,0.6666666666666666,1.5,EPE,0.24293090751148824,300
148,0.6666666666666666,1.5,EPE,0.22559095880644509,300
148,0.6666666666666666,1.5,EPE,0.21733505531068986,300
148,0.6666666666666666,1.5,EPE,0.22569792820953713,300
